Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 55764 55764 1] 7705
[1 54539 54539 1] 8000
[1 36841 36841 1] 5837
[1 44819 44819 1] 6654
[1 70689 70689 1] 9442
[1 67918 67918 1] 12556
[1 66997 66997 1] 10353
[1 87744 87744 1] 11727
[1 12184 12184 1] 1742
[1 95500 95500 1] 13159
[1 6726 6726 1] 910
[1 55591 55591 1] 8367
[1 68140 68140 1] 9899
[1 69787 69787 1] 13919
[1 38083 38083 1] 4870
[1 88465 88465 1] 11103
[1 39508 39508 1] 6923
[1 28805 28805 1] 3614
[1 78612 78612 1] 10555
[1 27829 27829 1] 3541
[1 87344 87344 1] 11218
[1 35569 35569 1] 4156
[1 55423 55423 1] 8790
[1 13811 13811 1] 4339
[1 21802 21802 1] 3950
[1 73731 73731 1] 14679
[1 11306 11306 1] 1425
[1 78737 78737 1] 11332
[1 48627 48627 1] 7701
[1 3466 3466 1] 616
[1 73417 73417 1] 9864
[1 13259 13259 1] 1709
[1 67638 67638 1] 10715
[1 5625 5625 1] 821
[1 44920 44920 1] 5228
[1 11900 11900 1] 2354
[1 45551 45551 1] 6347
[1 90072 90072 1] 11680
[1 87132 87132 1] 11662
[1 84931 84931 1] 10528
[1 45895 45895 1] 6153
[1 70164 70164 1] 10021
[1 87982 87982 1] 11628
[1 52997 52997 1] 7825
[1 13774 13774 1] 1724
[1 39669 39669 1] 5007
[1 81096 81096 1] 10918
[1 16467 16467 1] 2040
[1 11341 11341 1] 1367
[1 27685 27685 1] 4467
[1 55543 55543 1] 7203
[1 79108 79108 1] 10549
[1 19757 19757 1] 2305
[1 18419 18419 1] 2195
[1 89413 89413 1] 11951
[1 32173 32173 1] 4470
[1 62010 62010 1] 8494
[1 25211 25211 1] 4034
[1 67588 67588 1] 9996
[1 19302 19302 1] 4006
[1 67373 67373 1] 8790
[1 1256 1256 1] 327
[1 44600 44600 1] 5999
[1 29905 29905 1] 6641
[1 39812 39812 1] 7154
[1 15668 15668 1] 3146
[1 46229 46229 1] 6785
[1 29151 29151 1] 4748
[1 96659 96659 1] 12814
[1 89225 89225 1] 10549
[1 67270 67270 1] 10205
[1 54082 54082 1] 9302
[1 40085 40085 1] 6228
[1 11973 11973 1] 1608
[1 73851 73851 1] 10531
[1 5386 5386 1] 804
[1 39300 39300 1] 5780
